Object ID,Object Name,Title,Culture,Medium,Link Resource,Link Image
38978,figurine,,Sri Lanka,Bronze,http://www.metmuseum.org/art/collection/search/38978,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38978/main-image
38980,figure,,India (Jammu and Kashmir)  or Pakistan (Swat Valley),"Bronze inlaid with silver

",http://www.metmuseum.org/art/collection/search/38980,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38980/main-image
38981,figurine,,Pakistan,Bronze,http://www.metmuseum.org/art/collection/search/38981,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38981/main-image
38983,figure,,"Pakistan (NW Frontier Province, probably Swat Valley)",Bronze with silver inlay,http://www.metmuseum.org/art/collection/search/38983,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38983/main-image
38986,figure,,Pakistan (possibly Gilgit region),Bronze with silver inlay,http://www.metmuseum.org/art/collection/search/38986,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38986/main-image
38987,figure,,"India (Jammu & Kashmir, ancient kingdom of Kashmir) or Pakistan",Bronze with silver inlay,http://www.metmuseum.org/art/collection/search/38987,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38987/main-image
38997,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/38997,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38997/main-image
38998,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/38998,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38998/main-image
38999,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/38999,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38999/main-image
39017,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39017,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39017/main-image
39018,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39018,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39018/main-image
39019,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39019,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39019/main-image
39020,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39020,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39020/main-image
39021,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39021,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39021/main-image
39022,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39022,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39022/main-image
39023,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39023,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39023/main-image
39024,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39024,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39024/main-image
39025,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39025,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39025/main-image
39026,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39026,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39026/main-image
39027,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39027,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39027/main-image
39028,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39028,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39028/main-image
39030,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39030,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39030/main-image
39033,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39033,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39033/main-image
39034,figure,,Bangladesh,Bronze,http://www.metmuseum.org/art/collection/search/39034,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39034/main-image
39037,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39037,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39037/main-image
39041,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39041,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39041/main-image
39055,figure,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39055,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39055/main-image
39056,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39056,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39056/main-image
39057,figurine,,Indonesia (Java),Bronze,http://www.metmuseum.org/art/collection/search/39057,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39057/main-image
39092,figure,,Western Cambodia,Copper alloy,http://www.metmuseum.org/art/collection/search/39092,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39092/main-image
39093,figure,,Thailand (near the Korat plateau),Bronze,http://www.metmuseum.org/art/collection/search/39093,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39093/main-image
39094,figurine,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39094,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39094/main-image
39095,figure,,Thailand (Prakhon Chai),Bronze,http://www.metmuseum.org/art/collection/search/39095,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39095/main-image
39100,figure,,Cambodia,Bronze,http://www.metmuseum.org/art/collection/search/39100,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39100/main-image
39101,figure,,Cambodia,Bronze,http://www.metmuseum.org/art/collection/search/39101,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39101/main-image
39102,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39102,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39102/main-image
39105,figurine,,Cambodia or Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39105,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39105/main-image
39106,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39106,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39106/main-image
39109,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39109,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39109/main-image
39112,figure,,Thailand,Bronze,http://www.metmuseum.org/art/collection/search/39112,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39112/main-image
39116,figure,,Burma,Bronze,http://www.metmuseum.org/art/collection/search/39116,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39116/main-image
39119,figure,,Indonesia (Sumatra),Bronze,http://www.metmuseum.org/art/collection/search/39119,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39119/main-image
39122,figurine,,"Thailand (Buriram Province, Prakhon Chai)",Bronze with high-tin content or silver alloy,http://www.metmuseum.org/art/collection/search/39122,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39122/main-image
